pulled_at,category,value,percentage
2026-08-07 12:42,Company,Caterpillar Inc.,8%
2026-08-07 12:42,Company,HARMAN International,6%
2026-08-07 12:42,Company,Xperi Inc.,4%
2026-08-07 12:42,Company,Lenovo,1%
2026-08-07 12:42,Company,Amazon,< 1%
2026-08-07 12:42,Company,Microsoft,< 1%
2026-08-07 12:42,Location,Detroit Metropolitan Area,11%
2026-08-07 12:42,Location,Raleigh-Durham-Chapel Hill Area,10%
2026-08-07 12:42,Location,Peoria Metropolitan Area,8%
2026-08-07 12:42,Location,Greater Bengaluru Area,6%
2026-08-07 12:42,Location,San Francisco Bay Area,4%
2026-08-07 12:42,Location,Greater Chicago Area,3%
2026-08-07 12:42,Location,Greater Munich Metropolitan Area,3%
2026-08-07 12:42,Location,New York City Metropolitan Area,3%
2026-08-07 12:42,Location,Dallas-Fort Worth Metroplex,3%
2026-08-07 12:42,Company size,"10,001+ employees",39%
2026-08-07 12:42,Company size,"1,001-5,000 employees",13%
2026-08-07 12:42,Company size,51-200 employees,8%
2026-08-07 12:42,Company size,2-10 employees,8%
2026-08-07 12:42,Company size,11-50 employees,6%
2026-08-07 12:42,Company size,201-500 employees,5%
2026-08-07 12:42,Company size,"5,001-10,000 employees",5%
2026-08-07 12:42,Company size,"501-1,000 employees",4%
2026-08-07 12:42,Company size,0-1 employees,2%
2026-08-07 12:42,Seniority,Senior,40%
2026-08-07 12:42,Seniority,Director,16%
2026-08-07 12:42,Seniority,Entry,14%
2026-08-07 12:42,Seniority,Manager,10%
2026-08-07 12:42,Seniority,VP,5%
2026-08-07 12:42,Seniority,CXO,4%
2026-08-07 12:42,Seniority,Owner,3%
2026-08-07 12:42,Seniority,Partner,1%
2026-08-07 12:42,Job title,Software Engineer,3%
2026-08-07 12:42,Job title,Founder,3%
2026-08-07 12:42,Job title,Engineering Manager,3%
2026-08-07 12:42,Job title,Recruiter,2%
2026-08-07 12:42,Job title,Product Manager,2%
2026-08-07 12:42,Job title,Technical Recruiter,2%
2026-08-07 12:42,Job title,Program Manager,2%
2026-08-07 12:42,Job title,Talent Acquisition Specialist,1%
2026-08-07 12:42,Job title,Project Manager,1%
2026-08-07 12:42,Industry,Motor Vehicle Manufacturing,12%
2026-08-07 12:42,Industry,IT Services and IT Consulting,11%
2026-08-07 12:42,Industry,Software Development,9%
2026-08-07 12:42,Industry,Staffing and Recruiting,7%
2026-08-07 12:42,Industry,"Technology, Information and Internet",6%
2026-08-07 12:42,Industry,Machinery Manufacturing,5%
2026-08-07 12:42,Industry,Computers and Electronics Manufacturing,4%
2026-08-07 12:42,Industry,Business Consulting and Services,3%
2026-08-07 12:42,Industry,Human Resources Services,2%
2026-08-07 12:42,Industry,Financial Services,2%
