date,post_url,post_topic,content_type,pillar,impressions,reactions,comments,shares,total_engagements,engagement_rate,new_followers
1/26/26,https://www.linkedin.com/feed/update/urn:li:share:7421670541536825344,"Straventis Advisory Group
Where strategy meets execution.
We turn ideas into mar",Original,Reflection,10,0,0,0,0,0,0
1/26/26,https://www.linkedin.com/feed/update/urn:li:share:7421686586372739072,Stravantis Advisory helps small and mid-sized businesses turn ideas into market-,Original,Reflection,12,1,0,0,1,0.0833,0
1/27/26,https://www.linkedin.com/posts/s-thiru_share-7422035873782845443-8kpm,Schedule Free Advisory Session,Original,Reflection,2,,,,0,0,3
1/27/26,https://www.linkedin.com/feed/update/urn:li:share:7422035809605713920,Schedule a free Advisory Session with Straventis Advisory Group to explore how w,Original,Reflection,13,0,0,1,1,0.0769,0
1/31/26,https://www.linkedin.com/feed/update/urn:li:share:7423373242402246656,"A key milestone for our digital infrastructure at @Straventis Advisory Group
I a",Original,Reflection,29,1,0,0,1,0.0345,0
10/21/24,https://www.linkedin.com/feed/update/urn:li:ugcPost:7254261880116908033,I'm attending Malcolm Gladwell on how to build influence to drive forward great,Original,Reflection,195,0,0,0,0,0,0
10/22/25,https://www.linkedin.com/posts/s-thiru_opentowork-layoffs-resilience-share-7386779528435773440-Eo1h,Open to Work: Layoffs & Resilience,Original,Reflection,3,,,,0,0,1
10/22/25,https://www.linkedin.com/feed/update/urn:li:share:7386779528435773440,"🚨 Stealth Role Reveal 🚨

After months of operating in confidential mode, it’s ti",Original,Reflection,7129,14,4,0,18,0.0025,0
10/22/25,https://www.linkedin.com/posts/s-thiru_career-cardio-is-a-humorous-yet-powerful-share-7386909595538989056-ANNB,Career Cardio Is a Humorous Yet Powerful,Repost+Commentary,Reflection,411,2,0,0,3,0.0073,
10/23/25,https://www.linkedin.com/posts/s-thiru_unemployednotunworthy-careerpivots-faithinthewaiting-share-7386883754679615489-N7-B,Unemployed Not Unworthy: Career Pivots & Faith in the Waiting,Original,Reflection,4,,,,0,0,4
10/23/25,https://www.linkedin.com/feed/update/urn:li:share:7386883754679615489,"🪑 Role Reveal – Part 2: What Does a Chief unEmployed Officer Actually Do?

At Tr",Original,Reflection,1014,15,0,0,15,0.0148,0
10/24/25,https://www.linkedin.com/posts/s-thiru_jobsearchhumor-opentowork-rejectionresilience-share-7386909013470236672-tiHf,Job Search Humor: Open to Work & Rejection Resilience,Original,Reflection,3,,,,0,0,2
10/24/25,https://www.linkedin.com/feed/update/urn:li:share:7386909013470236672,🪑 Role Reveal – Part 3: Core Responsibility Spotlight: Portfolio Diversification,Original,Reflection,1083,8,1,0,9,0.0083,0
10/26/22,https://www.linkedin.com/posts/s-thiru_interdependency-between-product-and-program-share-6991224982496301056-rj3o,Interdependency Between Product and Program,Original,Platform Engg.,3,0,0,0,0,0,
10/28/22,https://www.linkedin.com/posts/s-thiru_doing-pricing-strategy-research-for-a-class-share-6991956183100112896-tsF0,Doing Pricing Strategy Research for a Class,Original,Reflection,3,0,0,0,0,0,
11/1/25,https://www.linkedin.com/posts/s-thiru_machinelearning-mlops-ai-share-7390434172122812416-Vyxo,"Machine Learning, MLOps & AI",Repost,AI/ML,4,,,,0,0,0
11/1/25,https://www.linkedin.com/feed/update/urn:li:share:7390434172122812416,When your ML model performs flawlessly in dev… and then production reminds you t,Original,AI/ML,976,8,0,0,8,0.0082,0
11/5/25,https://www.linkedin.com/feed/update/urn:li:share:7391928399016980480,"Connect with me now!!!
📍 Raleigh, NC | 🌐 https://www.stratovas.com/ 
🌐 https://w",Original,Reflection,4,0,0,0,0,0,0
11/5/25,https://www.linkedin.com/feed/update/urn:li:share:7391927123298492416,"I’m thrilled to share that since 2023, Innovative Business Consulting LLC has be",Original,Reflection,4,0,0,0,0,0,0
12/12/24,https://www.linkedin.com/posts/s-thiru_excited-to-see-xperi-showcasing-its-innovative-share-7273150972325953537-Te_U,Excited to See Xperi Showcasing Its Innovative,Repost+Commentary,Innovation,3,0,0,0,0,0,
2/11/25,https://www.linkedin.com/posts/s-thiru_opentowork-ugcPost-7295072778867671040-3lik,Open to Work,Original,Reflection,6,,,,0,0,
2/11/25,https://www.linkedin.com/feed/update/urn:li:ugcPost:7295068173123346433,Hi everyone! I’m seeking a new role and would appreciate your support. If you he,Original,Reflection,446,0,0,0,0,0,0
2/11/25,https://www.linkedin.com/feed/update/urn:li:ugcPost:7295072778867671040,Hi everyone! I’m seeking a new role and would appreciate your support. If you he,Original,Reflection,872,0,0,0,0,0,0
2/11/25,https://www.linkedin.com/posts/s-thiru_opentowork-ugcPost-7295068173123346433-8ZsG,opentowork,,Reflection,9,,,,0,0,
2/13/25,https://www.linkedin.com/feed/update/urn:li:share:7295638079283884032,great read to reignite your passion at work by aligning your tasks with your cor,Original,Reflection,199,0,0,0,0,0,0
2/13/25,https://www.linkedin.com/feed/update/urn:li:ugcPost:7295874835858051072,I'm attending Ask Arianna Huffington your career questions. Join me on February,Original,Reflection,159,0,0,0,0,0,0
2/14/25,https://www.linkedin.com/feed/update/urn:li:ugcPost:7296241754406604801,Hi everyone! I’m seeking a new role and would appreciate your support. If you he,Original,Reflection,564,0,0,0,0,0,0
2/14/25,https://www.linkedin.com/feed/update/urn:li:share:7296178736289271809,Excited to join fellow data enthusiasts at the Data Driven Meetup – looking forw,Original,Reflection,210,0,0,0,0,0,0
2/14/25,https://www.linkedin.com/feed/update/urn:li:share:7296182850737836034,"Leadership is about influence, not intimidation.",Original,Reflection,101,0,0,0,0,0,0
2/14/25,https://www.linkedin.com/posts/s-thiru_its-been-a-while-since-ive-completed-my-ugcPost-7296243452193722368-aHVD,It's Been a While Since I've Completed My,Original,Reflection,83,0,0,0,0,0,
2/14/25,https://www.linkedin.com/posts/s-thiru_opentowork-ugcPost-7296241754406604801-vF2t,Open to Work,Original,Reflection,13,,,,0,0,
2/16/22,https://www.linkedin.com/posts/s-thiru_machinelearning-artificialintelligence-share-6899804654818197504-wbYh,Machine Learning & Artificial Intelligence,Repost,AI/ML,1,,,,0,0,
2/18/25,https://www.linkedin.com/feed/update/urn:li:share:7297675043373805570,View my verified achievement from @Coursera.,Original,Reflection,247,0,0,0,0,0,0
3/31/26,https://www.linkedin.com/posts/s-thiru_jobsearchstruggles-ats-candidateexperience-share-7444838077958651904-qeLk,Job Search Struggles: ATS & Candidate Experience,Original,Reflection,2,,,,0,0,4
3/31/26,https://www.linkedin.com/feed/update/urn:li:share:7444838077958651904,I’m continuing my search for my next opportunity and am open across Product Mana,Original,Reflection,1391,12,3,0,15,0.0108,0
3/5/25,https://www.linkedin.com/feed/update/urn:li:share:7302841183234342913,Traveling with pet for easier and comfy.  Yay,Original,Reflection,256,0,0,0,0,0,0
4/1/25,https://www.linkedin.com/feed/update/urn:li:share:7312978992523796480,This perspective has been a game-changer in my career. Focusing on what’s within,Original,Reflection,242,0,0,0,0,0,0
4/1/25,https://www.linkedin.com/feed/update/urn:li:share:7312979481378369536,Love seeing this energy! Milestones like these don’t just showcase performance—t,Original,Reflection,167,0,0,0,0,0,0
4/17/25,https://www.linkedin.com/feed/update/urn:li:ugcPost:7318721509143764993,Incredible advancement by Shield.AI— Their wide area motion imaging is a critica,Original,Industrial,147,0,0,0,0,0,0
4/17/25,https://www.linkedin.com/feed/update/urn:li:share:7318720603622936577,Incredible work—Shield.Ai is pushing the boundaries of what’s possible in contes,Original,Industrial,115,0,0,0,0,0,0
4/17/25,https://www.linkedin.com/posts/s-thiru_incredible-advancement-by-shieldai-their-ugcPost-7318721509143764993-dnK3,Incredible Advancement by ShieldAI,Repost+Commentary,Innovation,5,,,,0,0,
4/17/25,https://www.linkedin.com/posts/s-thiru_incredible-workshieldai-is-pushing-the-share-7318720603622936577-Gv6O,"Incredible Work, ShieldAI Is Pushing the",Repost+Commentary,Innovation,2,,,,0,0,
4/17/25,https://www.linkedin.com/posts/s-thiru_lidar-is-essential-to-the-safe-and-scalable-ugcPost-7318721021031706624-azVY,LiDAR Is Essential to the Safe and Scalable,Repost+Commentary,AI/ML,2,0,0,0,0,0,
4/18/24,https://www.linkedin.com/feed/update/urn:li:share:7186819032027734017,That was well said. Workplace conversations are the source of innovation and sho,Original,Innovation,282,0,0,0,0,0,0
4/18/24,https://www.linkedin.com/feed/update/urn:li:ugcPost:7186822367438852096,Dr. Amy's interview highlights what sets up an individual's growth mindset and t,Original,Reflection,357,0,0,0,0,0,0
4/2/25,https://www.linkedin.com/posts/s-thiru_great-write-up-on-game-theory-and-how-it-ugcPost-7313269404861935618-KsRt,Great Write-Up on Game Theory and How It,Repost+Commentary,Innovation,2,0,0,0,0,0,
4/26/24,https://www.linkedin.com/feed/update/urn:li:share:7189448030327054337,"Our team worked very hard to make this happen. If you have Disney+, watch, enjoy",Original,Reflection,279,0,0,0,0,0,0
4/30/24,https://www.linkedin.com/feed/update/urn:li:share:7191077325097074688,YouTube Video showcasing the product.,Original,Product,303,0,0,0,0,0,0
4/30/24,https://www.linkedin.com/feed/update/urn:li:share:7191077010704683009,"If you are in the market for a BMW 5 series or 2024 Mini (all models), MB S-Clas",Original,Industrial,301,0,0,0,0,0,0
4/30/24,https://www.linkedin.com/feed/update/urn:li:share:7191079402825252866,"Healthcare organizations, esp. hospital management, need to adopt this mindset s",Original,Innovation,457,0,0,0,0,0,0
4/9/24,https://www.linkedin.com/feed/update/urn:li:share:7183466535154335746,I am proud to announce that I will graduate with an MBA from a top 5 business sc,Original,Reflection,2039,0,0,0,0,0,0
4/9/24,https://www.linkedin.com/posts/s-thiru_mbagrad-topbusinessschool-careergrowth-share-7183466535154335746-4JXh,MBA Grad: Top Business School & Career Growth,Original,Reflection,2,,,,0,0,
5/12/25,https://www.linkedin.com/posts/s-thiru_businessanalysis-ugcPost-7327856258361798658-CAOH,Business Analysis,Original,Platform Engg.,4,,,,0,0,
5/14/25,https://www.linkedin.com/feed/update/urn:li:share:7328453628162154497,View my verified achievement from @Project Management Institute.,Original,Reflection,246,0,0,0,0,0,0
5/14/25,https://www.linkedin.com/posts/s-thiru_im-happy-to-share-that-ive-obtained-a-new-ugcPost-7328453704091639808-O9bC,I'm Happy to Share That I've Obtained a New Certification,Original,Reflection,13,8,2,0,0,0,
5/14/25,https://www.linkedin.com/posts/s-thiru_data-landscape-of-genai-for-project-managers-share-7328453628162154497-l-G7,Data Landscape of GenAI for Project Managers,Repost+Commentary,AI/ML,6,0,0,0,0,0,
5/16/25,https://www.linkedin.com/feed/update/urn:li:share:7329108574821912576,"Hi everyone,
After an incredible journey working across product, engineering, an",Original,Reflection,1277,0,0,0,0,0,0
5/16/25,https://www.linkedin.com/posts/s-thiru_if-you-are-looking-for-a-financial-advisor-share-7329113772730556419-m3wZ,If You Are Looking for a Financial Advisor,Original,Reflection,191,0,0,0,0,0,
5/16/25,https://www.linkedin.com/posts/s-thiru_opentowork-programmanagement-productleadership-share-7329108574821912576-6aWF,Open to Work: Program Management & Product Leadership,Original,Reflection,107,,,,0,0,
5/20/26,https://www.linkedin.com/posts/s-thiru_im-attending-the-data-driven-path-to-consumption-based-ugcPost-7462965458904969217-wyMO,I'm Attending: The Data-Driven Path to Consumption-Based,Original,Innovation,3,1,0,0,0,0,5
6/7/18,https://www.linkedin.com/posts/s-thiru_project-management-professional-pmp-was-share-6410496238151704577-nmbt,Project Management Professional (PMP) Was,Original,Reflection,1,,,,0,0,
7/10/26,https://www.linkedin.com/posts/s-thiru_perforces-2026-platform-engineering-report-share-7481381790818148352-fFVy,Perforce's 2026 Platform Engineering Report,Repost (plain),AI/ML,3,,,,0,0,2
7/10/26,https://www.linkedin.com/feed/update/urn:li:share:7481381790818148352,"If you are trying to scale AI in the enterprise without a platform mindset, you",Original,Platform Engg.,408,1,0,0,1,0.0025,0
